"","Gene","chr","start","end","symbol","final.meta.pvalue.for.plot","scz.meta.pvalue","asd.meta.pvalue.for.plot","bp.ptv.pvalue"
"2292","ENSG00000109917",11,116773799,116788039,"ZPR1",0.552342178893343,0.78,0.114946652640512,1
"2293","ENSG00000140859",16,57758217,57863053,"KIFC3",0.41238691928939,0.85,0.115005302397613,0.070599
"2294","ENSG00000082438",2,164653624,164843679,"COBLL1",0.0542151857702455,0.317,0.115062538900096,0.032392
"2295","ENSG00000116213",1,3630767,3652761,"WRAP73",0.00926934706754904,0.106,0.115121202894979,0.015711
"2296","ENSG00000006016",19,18572220,18607741,"CRLF1",0.440125232942806,0.548,0.115178452397177,0.75423
"2297","ENSG00000121940",1,108927361,108963504,"CLCC1",0.18946873456637,0.233,0.115237130629842,0.72685
"2298","ENSG00000196636",7,97117698,97181763,"SDHAF3",0.043731400063984,0.0963,0.115295816290915,1
"2299","ENSG00000133858",12,71609599,71667725,"ZFC3H1",0.00277213605966545,0.00107,0.1153530856022,0.74992
"2300","ENSG00000175471",5,94703741,95284575,"MCTP1",0.695871841681513,0.835,0.115411785501055,0.72206
"2301","ENSG00000112893",5,109689927,109869625,"MAN2A1",0.115469067812055,1,0.115469067812055,1
"2302","ENSG00000203814",1,149782689,149812373,"H2BC18",0.338581586360727,0.49,0.115527781948691,0.61863
"2303","ENSG00000182327",17,4788964,4790589,"GLTPD2",0.79793342310263,0.932,0.115586503513736,0.6252
"2304","ENSG00000113645",5,168291645,168472303,"WWC1",0.0952281724649066,0.392,0.115643805633823,0.065811
"2305","ENSG00000198604",14,34752731,34875647,"BAZ1A",0.100667189035187,0.124,0.11570254143665,0.68228
"2306","ENSG00000099204",10,114431113,114768061,"ABLIM1",0.674633542650689,0.892,0.115759856556452,0.44535
"2307","ENSG00000133243",19,1985438,2034881,"BTBD2",0.154778326706019,0.272,0.11581860659706,0.49138
"2308","ENSG00000108387",17,58520250,58544368,"SEPTIN4",0.540335116489941,0.769,0.115877364066077,1
"2309","ENSG00000183155",1,202878282,202889149,"RABIF",0.00330257282049255,0.00735,0.115934698994966,1
"2310","ENSG00000171307",10,97446170,97457370,"ZDHHC16",0.0706706582873631,0.15,0.115993470701765,1
"2311","ENSG00000173702",3,124905442,124953819,"MUC13",0.205876617599083,1,0.116050818630368,0.54224
"2312","ENSG00000179241",11,35943981,36232136,"LDLRAD3",0.573963968710706,0.797,0.116109604574948,1
"2313","ENSG00000167632",8,139727725,140458579,"TRAPPC9",0.854757403895548,0.965,0.116166965503266,1
"2314","ENSG00000153563",2,86784610,86808396,"CD8A",0.243776368482795,0.328,0.116225765685628,0.68228
"2315","ENSG00000165028",9,104764129,104777764,"NIPSNAP3B",0.141113441833922,0.245,0.116284573296399,0.50013
"2316","ENSG00000137463",4,139266165,139280225,"MGARP",0.0780797372053154,0.106,0.116341954033804,0.61863
"2317","ENSG00000149300",11,111918032,111926871,"C11orf52",0.182862829654828,1,0.116400775882356,0.49138
"2318","ENSG00000123643",5,151437046,151492379,"SLC36A1",0.00254384466456702,0.00678,0.116458169619475,0.24144
"2319","ENSG00000130881",19,33177603,33208864,"LRP3",0.282995122413227,1,0.11651700570581,0.68228
"2320","ENSG00000114439",3,107522936,107811339,"BBX",0.337058148605658,0.739,0.116574412442643,0.1252
"2321","ENSG00000080819",3,98579446,98593648,"CPOX",0.186997108757633,1,0.116633262766759,0.50013
"2322","ENSG00000169871",7,101085481,101097967,"TRIM56",0.286699964427709,1,0.116690682503306,0.68775
"2323","ENSG00000127914",7,91940840,92110673,"AKAP9",0.454111703823514,0.769,0.116749547065204,0.28982
"2324","ENSG00000169136",19,49928702,49933935,"ATF5",0.13562662476532,1,0.116808419055511,0.37533
"2325","ENSG00000171169",9,128061233,128068206,"NAIF1",0.43573412615597,0.667,0.116865858601146,0.49138
"2326","ENSG00000180210",11,46719196,46739506,"F2",0.468292096486005,0.699,0.116924744829234,0.50013
"2327","ENSG00000072201",4,53459301,53701405,"LNX1",0.0297889264847425,0.0533,0.116982197374583,0.44535
"2328","ENSG00000196876",12,51590266,51812864,"SCN8A",0.275632340037133,0.457,0.117041097840453,0.50013
"2329","ENSG00000155099",8,90993802,91040872,"PIP4P2",0.435618684573126,0.715,0.117098563385516,0.37533
"2330","ENSG00000100300",22,43151547,43163242,"TSPO",0.506784259940449,0.738,0.117157478089168,1
"2331","ENSG00000137507",11,76657524,76670747,"LRRC32",0.17585317215666,0.333,0.117214956633945,1
"2332","ENSG00000170899",6,52977948,52995304,"GSTA4",0.391761379630737,0.621,0.117273885575379,1
"2333","ENSG00000181773",1,27392622,27395814,"GPR3",0.0659874662794984,0.186,0.11733137711987,0.24144
"2334","ENSG00000177469",17,42402449,42423256,"CAVIN1",0.375408966846041,0.595,0.117390320299086,0.49138
"2335","ENSG00000058335",15,78959906,79090780,"RASGRF1",0.430219400715369,0.549,0.11744782484329,0.72685
"2336","ENSG00000101204",20,63343223,63378401,"CHRNA4",0.190897087418116,0.278,0.117506782260288,0.61863
"2337","ENSG00000147526",8,38728186,38853028,"TACC1",0.00145959054269515,0.0031,0.117564299804207,1
"2338","ENSG00000131876",15,101281510,101295282,"SNRPA1",0.117623271458987,1,0.117623271458987,NA
"2339","ENSG00000129932",19,3490821,3500674,"DOHH",0.180934862595091,0.314,0.11768080200262,0.49138
"2340","ENSG00000136848",9,121567057,121785530,"DAB2IP",0.0460698426185141,0.1,0.117739787895181,1
"2341","ENSG00000184697",16,3014712,3020071,"CLDN6",0.247055751774633,1,0.117797331438528,0.61863
"2342","ENSG00000184792",22,30693782,30907824,"OSBP2",0.182103740108213,0.295,0.117856331568872,0.54224
"2343","ENSG00000136160",13,77895481,77975529,"EDNRB",0.0775428288034741,0.162,0.117913888111932,1
"2344","ENSG00000048028",11,113797874,113875570,"USP28",0.240634649029241,0.346,0.117972902480058,0.62984
"2345","ENSG00000174780",4,56467617,56503681,"SRP72",0.157065763986935,0.201,0.118030472022833,0.68775
"2346","ENSG00000100425",22,49773283,49827512,"BRD1",0.0567042950916656,0.222,0.11808950062874,0.11863
"2347","ENSG00000109738",4,157076125,157172090,"GLRB",0.118147083171229,1,0.118147083171229,1
"2348","ENSG00000167123",9,128411751,128437351,"CERCAM",0.498062624596122,0.729,0.118206126014919,1
"2349","ENSG00000143320",1,156699606,156705816,"CRABP2",0.0535953914937818,0.115,0.118263721557121,1
"2350","ENSG00000145934",5,167284799,168264157,"TENM2",0.151173731435354,0.292,0.118380387180509,1
"2351","ENSG00000159184",17,48724763,48728750,"HOXB13",0.181040970580349,0.34,0.118439458499763,1
"2352","ENSG00000166908",12,57591174,57603418,"PIP4K2C",0.118497080041393,1,0.118497080041393,1
"2353","ENSG00000259384",17,63917200,63918839,"GH1",0.118556165598429,1,0.118556165598429,NA
"2354","ENSG00000159189",1,22643633,22648110,"C1QC",0.118613800139773,1,0.118613800139773,NA
"2355","ENSG00000166860",12,56998836,57006546,"ZBTB39",0.142081936673851,0.297,0.11867289993459,0.36658
"2356","ENSG00000140262",15,56918623,57299281,"TCF12",0.272576820214549,0.575,0.118730547475649,0.2502
"2357","ENSG00000133612",7,151085831,151144436,"AGAP3",0.685906634051584,0.824,0.118789661508248,0.72206
"2358","ENSG00000167552",12,49184686,49189080,"TUBA1A",0.11884732204902,NA,0.11884732204902,1
"2359","ENSG00000142945",1,44739818,44767767,"KIF2C",0.192929532343619,0.358,0.118904988780133,1
"2360","ENSG00000138760",4,76158737,76234536,"SCARB2",0.0594947036228841,0.165,0.118964123859888,0.2502
"2361","ENSG00000143194",1,166975582,167022214,"MAEL",0.124073910880195,0.275,0.119080952908251,0.33578
"2362","ENSG00000026508",11,35138882,35232402,"CD44",0.683579022972409,0.912,0.119138645638792,0.36658
"2363","ENSG00000101199",20,63272785,63289790,"ARFGAP1",0.0477975447252303,1,0.119197809194111,0.11863
"2364","ENSG00000171159",9,128160265,128163924,"C9orf16",0.119255514924365,1,0.119255514924365,NA
"2365","ENSG00000084693",2,27042364,27070622,"AGBL5",0.856222120695908,0.949,0.119314692717466,0.72206
"2366","ENSG00000143341",1,185734391,186190949,"HMCN1",0.85064420219115,0.922,0.119372411447434,0.83933
"2367","ENSG00000187240",11,103109410,103479863,"DYNC2H1",0.00282018111842668,0.00254,0.119430136367742,0.53492
"2368","ENSG00000023892",6,35297818,35321771,"DEF6",0.772484503626325,0.927,0.119489335207999,1
"2369","ENSG00000058668",1,203626787,203744081,"ATP2B4",0.0855455132314419,0.176,0.119547073128021,1
"2370","ENSG00000114770",3,183919934,184017939,"ABCC5",0.143400518614307,0.278,0.11960628620606,1
"2371","ENSG00000152495",5,111223653,111494886,"CAMK4",0.133347508195215,0.261,0.119664037125796,NA
"2372","ENSG00000134539",12,10226058,10329608,"KLRD1",0.290703751195694,0.496,0.119723264441617,1
"2373","ENSG00000171448",9,122915566,122931512,"ZBTB26",0.734311806071548,0.906,0.119781028361067,1
"2374","ENSG00000177575",12,7470811,7503893,"CD163",0.362151275663421,0.593,0.119838798470857,0.45356
"2375","ENSG00000162396",1,54756898,54764523,"PARS2",0.197075204002168,0.437,0.119898046833834,0.28096
"2376","ENSG00000160838",1,156920632,156933094,"LRRC71",0.682944766478592,0.865,0.119955829943338,0.57495
"2377","ENSG00000172273",11,119121580,119136059,"HINFP",0.284793538997222,0.596,0.120015092544097,0.24144
"2378","ENSG00000155252",10,97640686,97676434,"PI4K2A",0.0367106966671133,0.0797,0.120072888653315,NA
"2379","ENSG00000254656",14,100879753,100903722,"RTL1",0.113724417345543,0.113,0.120130690952873,0.77477
"2380","ENSG00000133101",13,36431520,36442870,"CCNA1",0.431852329810389,0.569,0.120189974600787,0.68775
"2381","ENSG00000163319",4,83455932,83469735,"MRPS18C",0.428550866361718,0.658,0.120247789900059,1
"2382","ENSG00000107282",9,69427532,69672371,"APBA1",0.295718675199701,0.482,0.120307087785756,0.50067
"2383","ENSG00000169902",7,66205317,66420543,"TPST1",0.0274124475495048,1,0.120364916084742,0.058286
"2384","ENSG00000138688",4,122152331,122362758,"KIAA1109",0.668802575549749,0.793,0.120422750574067,0.75803
"2385","ENSG00000196277",3,6770001,7741533,"GRM7",0.289240087994733,0.536,0.12048206950692,0.36658
"2386","ENSG00000124299",19,33386950,33521791,"PEPD",0.279710245063397,0.459,0.12053991699596,0.50067
"2387","ENSG00000021645",14,78170373,79868291,"NRXN3",0.00575891127660711,0.0126,0.120597770675339,1
"2388","ENSG00000204351",6,31959117,31969751,"SKIV2L",0.040062112488186,0.0864,0.120657110655348,1
"2389","ENSG00000107798",10,89213569,89414557,"LIPA",0.444233607601281,0.614,0.120714977334442,0.6252
"2390","ENSG00000121058",17,56938199,56961050,"COIL",0.23831275832309,0.345,0.120774331552232,0.61863
"2391","ENSG00000144647",3,43079232,43106079,"POMGNT2",0.191266544183874,1,0.12083221123104,0.50013
"2392","ENSG00000095397",9,114402080,114505473,"WHRN",0.327772821583798,0.647,0.120890097100187,0.2502
"2393","ENSG00000097007",9,130713016,130887675,"ABL1",0.766921820708232,0.934,0.120949472365134,0.49138
"2394","ENSG00000179364",14,105300563,105398147,"PACS2",0.0547933330681049,0.116,0.121007371233995,1
"2395","ENSG00000132128",1,46261196,46303616,"LRRC41",0.121065276293197,1,0.121065276293197,1
"2396","ENSG00000183914",17,7717354,7833744,"DNAH2",0.639780922854001,0.905,0.121124672605299,0.28261
"2397","ENSG00000170426",12,56923133,56934408,"SDR9C7",0.140032572593511,0.271,0.121182590664215,NA
"2398","ENSG00000167434",17,60149942,60170899,"CA4",0.134770978224384,0.169,0.12124051491347,0.68228
"2399","ENSG00000142798",1,21822244,21937310,"HSPG2",0.480078065499818,0.618,0.121299932272728,0.70213
"2400","ENSG00000120256",6,149818757,149864359,"LRP11",0.111630950500737,0.222,0.121357869521698,1
"2401","ENSG00000141542",17,82654973,82698698,"RAB40B",0.566288225414863,0.794,0.121415812961007,0.49138
"2402","ENSG00000162825",1,145289900,145405778,"NBPF20",0.43332098741705,0.488,0.121475251367421,0.82426
"2403","ENSG00000145022",3,49412206,49416475,"TCTA",0.121533207806445,1,0.121533207806445,1
"2404","ENSG00000121281",16,50246137,50318135,"ADCY7",0.0401139855490481,0.05,0.121591170435808,0.60155
"2405","ENSG00000143499",1,214281102,214337131,"SMYD2",0.121650629889378,1,0.121650629889378,1
"2406","ENSG00000149792",11,65122183,65127371,"MRPL49",0.131934448398618,0.228,0.121708605518455,0.49138
"2407","ENSG00000204397",11,105041326,105101431,"CARD16",0.433253410302586,0.603,0.121766587337873,0.61863
"2408","ENSG00000173193",3,122680839,122730840,"PARP14",0.326094435844717,0.539,0.121826067838599,1
"2409","ENSG00000160908",7,99473877,99504857,"ZNF394",0.310210879070355,0.442,0.12188406265773,0.6252
"2410","ENSG00000106628",7,44114680,44124358,"POLD2",0.0191510497687124,0.0419,0.121942063667201,1
"2411","ENSG00000079689",6,25652201,25701783,"SCGN",0.33482448486884,0.534,0.122001565215083,0.50013
"2412","ENSG00000103888",15,80779343,80951776,"CEMIP",0.253739013616256,0.416,0.122059579224268,0.50833
"2413","ENSG00000187244",19,44809071,44821421,"BCAM",0.231320621842969,0.509,0.122117599423793,0.2502
"2414","ENSG00000144792",3,44578223,44599694,"ZNF660",0.152619337695922,0.291,0.122175625813658,1
"2415","ENSG00000124721",6,38715311,39030792,"DNAH8",0.728035493593144,0.861,0.12223515521807,0.71213
"2416","ENSG00000198954",10,68988803,69043544,"KIFBP",0.209057091391102,0.298,0.122293194607649,0.6252
"2417","ENSG00000140598",15,82130233,82262734,"EFL1",0.155774972757988,0.296,0.122351240187568,1
"2418","ENSG00000103942",15,82836946,82986153,"HOMER2",0.524809614886141,0.75,0.122410790639136,1
"2419","ENSG00000146373",6,124962437,125092633,"RNF217",0.197148654237004,0.361,0.122468849218769,1
"2420","ENSG00000179715",12,47079603,47236662,"PCED1B",0.199821872382525,0.365,0.122526913988742,1
"2421","ENSG00000114270",3,48564073,48595329,"COL7A1",0.853017070175277,0.963,0.122584984949055,1
"2422","ENSG00000115423",2,84516455,84819589,"DNAH6",0.0811855853998373,0.0764,0.122644563257153,0.76211
"2423","ENSG00000143502",1,223220819,223364233,"SUSD4",0.0805359489897277,1,0.12270264721718,0.21091
"2424","ENSG00000198822",7,86643909,86864879,"GRM3",0.507084159126383,0.734,0.122760737367547,0.50013
"2425","ENSG00000165702",9,132944000,132991687,"GFI1B",0.334665650588259,0.537,0.122818833708253,0.49138
"2426","ENSG00000179532",11,6497260,6593758,"DNHD1",0.188787698437515,0.265,0.122878439872881,0.63154
"2427","ENSG00000164932",8,103371538,103382989,"CTHRC1",0.261130055482538,0.453,0.122936549213302,1
"2428","ENSG00000042781",1,215622891,216423448,"USH2A",0.384727113729501,0.597,0.122994664744063,0.50008
"2429","ENSG00000173714",17,50834650,50842353,"WFIKKN2",0.600265676385223,0.813,0.123052786465163,1
"2430","ENSG00000153922",5,98853985,98929007,"CHD1",0.0462703068305244,0.0553,0.123112420486321,0.6252
"2431","ENSG00000104812",19,48968130,48993310,"GYS1",0.117851726959404,0.197,0.123170555207136,0.50833
"2432","ENSG00000197121",2,196833004,196927796,"PGAP1",0.36875010033339,0.71,0.12322869611829,0.21912
"2433","ENSG00000230124",1,180269653,180502954,"ACBD6",0.257243873180498,NA,0.123286843219785,0.6252
"2434","ENSG00000113838",3,186546067,186570543,"TBCCD1",0.204416703012975,0.293,0.123346505097473,0.61863
"2435","ENSG00000187210",9,76419850,76651203,"GCNT1",0.0518499440843491,0.0641,0.123404665198681,0.61863
"2436","ENSG00000143337",1,179882042,179920077,"TOR1AIP1",0.177041580650202,0.329,0.12346283149023,1
"2437","ENSG00000187699",2,189879609,190203484,"C2orf88",0.381126841268508,0.592,0.123521003972118,0.50013
"2438","ENSG00000173848",10,5412557,5459056,"NET1",0.0074277699338253,0.0333,0.123579182644347,0.12534
"2439","ENSG00000162972",2,199955317,200008540,"MAIP1",0.490346178224761,0.717,0.123638879187938,1
"2440","ENSG00000198399",2,24202864,24360536,"ITSN2",0.130735675953628,0.455,0.123697070859881,0.079168
"2441","ENSG00000197653",12,123762188,123935720,"DNAH10",0.237955714219994,0.683,0.123755268722163,0.054375
"2442","ENSG00000105379",19,51345169,51366388,"ETFB",0.708464855129115,0.869,0.123813472774786,0.6252
"2443","ENSG00000182704",11,76782251,76798153,"TSKU",0.544126729070939,0.769,0.123871683017748,0.50013
"2444","ENSG00000143632",1,229430365,229434104,"ACTA1",0.361110231659179,0.479,0.123929899451051,0.68228
"2445","ENSG00000109103",17,28546708,28552631,"UNC119",0.0919048998108926,1,0.12398963746992,0.24144
"2446","ENSG00000065054",16,2025356,2039026,"SLC9A3R2",0.25438581223192,0.362,0.124047866902936,0.6252
"2447","ENSG00000182858",22,49900229,49918438,"ALG12",0.175692150557911,0.499,0.124106102526293,0.1252
"2448","ENSG00000114841",3,52316319,52400492,"DNAH1",0.00616666629886327,0.0132,0.124164344339989,1
"2449","ENSG00000152818",6,144285701,144853034,"UTRN",0.62251935707568,0.773,0.124222592344025,0.69101
"2450","ENSG00000137877",15,41848146,41894053,"SPTBN5",0.274837389474708,0.255,0.124280846538402,0.8731
"2451","ENSG00000115263",2,162142882,162152404,"GCG",0.124340626032549,1,0.124340626032549,1
"2452","ENSG00000143258",1,161159450,161165723,"USP21",0.414463904431446,0.639,0.124398893226639,1
"2453","ENSG00000249242",4,82483170,82562357,"TMEM150C",0.197791960108167,0.335,0.124457166611069,0.49138
"2454","ENSG00000198198",1,43389882,43454247,"SZT2",0.183119800244451,0.514,0.124515446185839,0.1234
"2455","ENSG00000162946",1,231626790,232041272,"DISC1",0.731044511632518,0.902,0.12457373195095,1
"2456","ENSG00000160606",17,28724348,28727935,"TLCD1",0.519078747607136,0.743,0.1246320239064,1
"2457","ENSG00000118997",2,195737703,196068837,"DNAH7",0.0104851230650596,0.0423,0.124691844875825,0.1453
"2458","ENSG00000182902",22,17563450,17590995,"SLC25A18",0.0764508912387909,0.203,0.124750149830989,0.2502
"2459","ENSG00000119681",14,74498183,74612378,"LTBP2",0.13485776784049,0.202,0.124808460976493,0.57495
"2460","ENSG00000115896",2,197804593,198572581,"PLCL1",0.354958268274246,0.571,0.124866778312337,1
"2461","ENSG00000007174",17,11598470,11969748,"DNAH9",0.131809387215783,0.135,0.124925101838521,0.76734
"2462","ENSG00000110203",11,72114869,72139892,"FOLR3",0.195691102372431,1,0.124983431555045,0.50067
"2463","ENSG00000136514",3,187368385,187372076,"RTP4",0.125041767461909,1,0.125041767461909,1
"2464","ENSG00000114867",3,184314495,184335358,"EIF4G1",0.00863282511522195,0.0185,0.125100109559113,1
"2465","ENSG00000077935",22,45344063,45413619,"SMC1B",0.100059848309458,0.108,0.125159985622564,0.72206
"2466","ENSG00000075624",7,5526409,5563902,"ACTB",0.195398390401897,0.451,0.125218340719482,0.24144
"2467","ENSG00000176148",11,33039417,33105943,"TCP11L1",0.598389977069334,0.81,0.12527670200674,1
"2468","ENSG00000133246",19,8490056,8502640,"PRAM1",0.339549114435001,0.552,0.125335069484338,1
"2469","ENSG00000177728",17,75441159,75500452,"TMEM94",0.177879467783245,0.321,0.125393443152276,0.44535
"2470","ENSG00000126070",1,35930718,36072500,"AGO3",0.287218355035347,0.465,0.125451823010553,0.50013
"2471","ENSG00000129003",15,61852389,62060473,"VPS13C",0.328333988714167,0.615,0.125510209059171,0.30424
"2472","ENSG00000178988",4,6707701,6709865,"MRFAP1L1",0.125568601298129,1,0.125568601298129,1
"2473","ENSG00000164088",3,52245759,52250599,"PPM1M",0.56918280353115,0.786,0.125626999727427,1
"2474","ENSG00000171488",1,89633072,89769903,"LRRC8C",0.696422139262733,0.842,0.125685404347065,0.68228
"2475","ENSG00000155265",10,97849843,97871580,"GOLGA7B",0.144757292008701,0.275,0.125745349123289,1
"2476","ENSG00000149403",11,120511746,120988906,"GRIK4",0.461689908693771,0.687,0.125803766742641,1
"2477","ENSG00000162775",1,110338506,110346681,"RBM15",0.0266022472612251,0.0567,0.125862190552333,1
"2478","ENSG00000112379",6,138161939,138344663,"ARFGEF3",0.0288220707525802,0.0613,0.125920620552365,1
"2479","ENSG00000273749",15,22867052,22981063,"CYFIP1",0.125979056742736,NA,0.125979056742736,1
"2480","ENSG00000151577",3,114127580,114199407,"DRD3",0.0862319806723187,0.173,0.126037499123448,1
"2481","ENSG00000230453",9,33524394,33573009,"ANKRD18B",0.006949685177379,0.0174,0.126095947694499,0.26444
"2482","ENSG00000179869",7,48171458,48647497,"ABCA13",0.619638153840796,0.932,0.126154402455891,0.12893
"2483","ENSG00000129007",15,68190705,68206079,"CALML4",0.742523854389931,0.908,0.126212863407623,1
"2484","ENSG00000183826",6,38168451,38640148,"BTBD9",0.192705152692215,1,0.126271330549694,0.49138
"2485","ENSG00000174720",4,112637107,112657592,"LARP7",0.580120058941739,0.749,0.126329803882106,0.6426
"2486","ENSG00000158486",16,20933111,21159441,"DNAH3",0.172242189114971,0.185,0.126388283404857,0.76734
"2487","ENSG00000170927",6,51615299,52087613,"PKHD1",0.111923462612224,0.149,0.126446769117949,0.62883
"2488","ENSG00000139549",12,49086656,49094801,"DHH",0.395382743998579,0.616,0.12650526102138,1
"2489","ENSG00000066279",1,197084121,197146694,"ASPM",0.372492206642597,0.739,0.126563759115152,0.16989
"2490","ENSG00000196071",1,248095184,248101103,"OR2L13",0.307700722782558,0.437,0.126622263399263,0.61863
"2491","ENSG00000132549",8,99013266,99877580,"VPS13B",0.0161261618526622,0.0163,0.126680773873715,0.60288
"2492","ENSG00000137142",9,38406528,38424454,"IGFBPL1",0.80734658425269,0.942,0.126739290538506,1
"2493","ENSG00000197915",1,152212076,152224193,"HRNR",0.226088535842471,0.466,0.126799358502496,0.30424
"2494","ENSG00000271425",1,146064711,146229000,"NBPF10",0.135880537588403,NA,0.126857888167002,0.35505
"2495","ENSG00000143476",1,212035553,212107400,"DTL",0.598949084720041,0.749,0.126916424021847,0.68775
"2496","ENSG00000173559",2,191678068,191741097,"NABP1",0.052996905091095,1,0.126974966067032,0.1252
"2497","ENSG00000184786",6,169740109,169751587,"DYNLT2",0.158300290268412,0.296,0.127033514302558,1
"2498","ENSG00000138759",4,78057323,78544269,"FRAS1",0.344281716604958,0.556,0.127092068728423,1
"2499","ENSG00000091157",18,56651343,57029811,"WDR7",0.279772811048465,0.474,0.127150629344628,1
"2500","ENSG00000182199",12,57229573,57234935,"SHMT2",0.595022735422855,0.806,0.127209196151173,1
"2501","ENSG00000171817",19,37551406,37614179,"ZNF540",0.24338223033872,0.424,0.127267769148059,1
"2502","ENSG00000102796",13,51767993,51804163,"DHRS12",0.811914019674282,0.944,0.127326348335284,1
"2503","ENSG00000138593",15,48988476,49046447,"SECISBP2L",0.0549156613715478,0.0475,0.127384933712849,0.74992
"2504","ENSG00000053747",18,23689453,23956222,"LAMA3",0.176755650495952,0.233,0.127443525280754,0.65891
"2505","ENSG00000122679",7,45157791,45186302,"RAMP3",0.213688740027679,0.303,0.127502123038999,0.61863
"2506","ENSG00000164109",4,120055623,120066858,"MAD2L1",0.599090400455005,0.809,0.127560726987584,1
"2507","ENSG00000196569",6,128883138,129516566,"LAMA2",0.723761267640256,0.782,0.12761933712651,0.87615
"2508","ENSG00000241399",2,159768628,159798255,"CD302",0.369202837144475,0.585,0.127677953455775,1
"2509","ENSG00000089335",19,34677639,34686397,"ZNF302",0.203287064440855,0.337,0.127735020961977,0.50013
"2510","ENSG00000112144",6,53001279,53061824,"CILK1",0.00144407050541525,0.00382,0.127793649052888,0.21091
"2511","ENSG00000187908",10,122560665,122643736,"DMBT1",0.0765482992105658,0.154,0.127852283334139,1
"2512","ENSG00000155511",5,153489615,153813869,"GRIA1",0.1320190253821,0.252,0.12791092380573,1
"2513","ENSG00000132294",8,131904093,132013642,"EFR3A",0.765143518368397,0.92,0.127969570467661,1
"2514","ENSG00000144426",2,203014608,203226378,"NBEAL1",0.0850363404852788,0.221,0.128028223319932,0.24992
"2515","ENSG00000107815",10,100987367,100994403,"TWNK",0.169526404638803,0.313,0.128086882362543,1
"2516","ENSG00000185974",13,113667219,113737736,"GRK1",0.245412158678899,0.426,0.128145547595494,1
"2517","ENSG00000196182",1,36339624,36385924,"STK40",0.315242901709914,0.519,0.128204219018785,1
"2518","ENSG00000160299",21,46324141,46445769,"PCNT",0.756333944358536,0.925,0.128262896632415,0.49702
"2519","ENSG00000137500",11,83259097,83286407,"CCDC90B",0.094504520344509,1,0.128321580436386,0.24144
"2520","ENSG00000138964",22,44172956,44219533,"PARVG",0.43005891657305,0.652,0.128380270430697,1
"2521","ENSG00000139324",12,88142296,88199887,"TMTC3",0.0953534232499418,0.126,0.128438966615348,0.61863
"2522","ENSG00000116741",1,192809039,192812275,"RGS2",0.540333998494456,0.765,0.128497668990339,0.49138
"2523","ENSG00000119682",14,74653437,74713117,"AREL1",0.186882270106212,0.31,0.128556377555669,0.50067
"2524","ENSG00000109255",4,55595229,55636698,"NMU",0.417004806499889,0.745,0.12861509231134,0.24144
"2525","ENSG00000165555",14,77394021,77423517,"NOXRED1",0.158898112843165,0.198,0.128673813257351,0.68228
"2526","ENSG00000164077",3,49907160,49930173,"MON1A",0.18086828841934,0.323,0.128732540393702,0.44535
"2527","ENSG00000203710",1,207496147,207641765,"CR1",0.59374112484734,0.925,0.128791273720392,0.11277
"2528","ENSG00000143870",2,10783391,10837977,"PDIA6",0.544192873882965,0.811,0.128848446462374,0.36658
"2529","ENSG00000136011",12,103587273,103766719,"STAB2",0.609643786621855,0.847,0.128907191550711,0.41772
"2530","ENSG00000198670",6,160531482,160664275,"LPA",0.610658528077605,0.879,0.128965942829388,0.30272
"2531","ENSG00000105948",7,139133744,139191986,"TTC26",0.0684729860441425,0.467,0.129024700298404,0.0069115
"2532","ENSG00000258315",17,7014495,7017525,"C17orf49",0.453394283827554,0.589,0.129083463957761,0.68228
"2533","ENSG00000266412",10,46005088,46030623,"NCOA4",0.0323456719017403,NA,0.129142233807457,0.065811
"2534","ENSG00000136960",8,119557086,119673453,"ENPP2",0.586502908642861,0.818,0.129201009847494,0.45356
"2535","ENSG00000140263",15,45023147,45077185,"SORD",0.527565274326457,0.747,0.12925979207787,1
"2536","ENSG00000171811",10,132808392,132942823,"CFAP46",0.501887183896534,0.538,0.129318580498587,0.85819
"2537","ENSG00000168000",11,62689289,62709845,"BSCL2",0.000846143032295459,0.000222,0.129377375109643,0.72206
"2538","ENSG00000188596",12,96489571,96875555,"CFAP54",0.414318073833582,0.719,0.129434602945651,0.28982
"2539","ENSG00000163554",1,158610704,158686715,"SPTA1",0.0407056195972594,0.0587,0.129493409318353,0.52468
"2540","ENSG00000142449",19,8065402,8149592,"FBN3",0.0245428482620644,0.127,0.129552221881396,0.07399
"2541","ENSG00000116127",2,73385758,73625166,"ALMS1",0.164685558062246,0.304,0.129611040634778,1
"2542","ENSG00000124688",6,43629540,43640941,"MAD2L1BP",0.452525236526215,0.792,0.129669865578501,0.21091
"2543","ENSG00000042832",8,132866958,133134903,"TG",0.435954357138001,0.657,0.129728696712563,1
"2544","ENSG00000174567",1,204198163,204213988,"GOLT1A",0.129787534036965,1,0.129787534036965,1
"2545","ENSG00000145777",5,111070062,111078026,"TSLP",0.129846377551708,1,0.129846377551708,1
"2546","ENSG00000203756",6,129831244,129861547,"TMEM244",0.197474518113843,0.45,0.129903649339129,0.24144
"2547","ENSG00000130749",19,47064187,47113776,"ZC3H4",0.13298303600856,0.252,0.129962504615518,NA
"2548","ENSG00000144810",3,99638475,99799226,"COL8A1",0.195870097168589,0.352,0.130021366082246,1
"2549","ENSG00000158792",16,89696357,89701705,"SPATA2L",0.446096876030786,0.772,0.130080233739314,0.24144
